Chamado;Serviço;Prioridade;Descrição
INC-00000004598;Hardware;Muito Baixa;Notebook travou igual a última vez, apresentando os mesmos problemas
INC-00000004599;Teams;Muito Baixa;Teams e Desktop Conector Não estão abrindo na minha máquina
INC-00000004600;Teams;Muito Baixa;Não consigo acessar os Produtos Microsoft
INC-00000004601;Repositório de arquivos - SharePoint e OneDrive;Muito Baixa;Não estou conseguindo abrir arquivo do Onedrive
INC-00000004602;Hardware;Baixa;Meu notebook desligou e agora não liga mais.
INC-00000004603;NetSuite - Faturamento e Cancelamento;Alta;Precisamos cancelar o lançamento INV162 - A NF foi rejeitada pelo cliente, mas o processo foi depois do período contábil, e com isso foi necessário abrir processo administrativo na prefeitura para o cancelamento. A Prefeitura cancelou o documento em 02/01/2025. Ao tentarmos cancelar o INV162 no NetSuite a ação não é concluída e contabilizada pois a Prefeitura rejeita a certificação do documento, devido a ele já estar cancelado no site. Na rotina de cancelamento do documento estão registradas as transações de números 12, 13 e 14. https://7337766.app.netsuite.com/app/accounting/transactions/custinvc.nl?id=10287 https://7337766.app.netsuite.com/app/accounting/transactions/transactionlist.nl?Transaction_TYPE=CuTrSale133
INC-00000004604;Hardware;Muito Baixa;Microfone do meu notebook BLS-ITSM-01106 apenas não consigo ser ouvida com clareza em reuniões no Teams ou outro software de meeting.
INC-00000004605;ELFA;Muito Baixa;Controle do fluxo de processo de desenhos de engenharia - ELFA - na orçamentação não tem o formato 3D. Os mesmos formatos do GED devem constar na orçamentação.
INC-00000004606;ELFA;Muito Baixa;Controle do fluxo de processo de desenhos de engenharia - ELFA  - o botão Doc será emitido? na Orçamentação para os documentos que são Modelagem 3D deve ser de preenchimento obrigatório.
INC-00000004607;e-social - Transmissão;Baixa;"Ao tentar transmitir as informações do IRRF e INSS hoje, enfrentei o seguinte problema com o meu computador: (em anexo) Preciso que essa situação seja avaliada com urgência, pois o prazo para transmissão das informações encerra amanhã, 14/01/2024.

Informo que tanto eu e Karine estamos com o mesmo problema."
INC-00000004608;NetSuite - Conciliação Bancária;Baixa;"Prezados, bom dia! Não estamos conseguindo criar Multa e Juros sobre compras, pois a requisição fica com status ""Pendente"". Fizemos 3 tentativas ontem pela manhã e aguardamos até a parte da tarde, porém sem sucesso. Excluímos as tentativas e fizemos um novo teste mas até o momento continua com o mesmo status. Peço auxílio."
INC-00000004609;Hardware;Baixa;Notebook travou inviabilizado o uso.
INC-00000004610;Teams;Baixa;Foi identificado que o aplicativo Read.ai, integrado ao Microsoft Teams, está sendo utilizado para registrar e analisar a fala dos clientes durante as reuniões, com o objetivo de gerar relatórios para as Gerências. No entanto, foi constatado que essa ferramenta utiliza inteligência artificial pública, o que configura uma violação das políticas internas de proteção de dados e diretrizes de TI da empresa. O uso do software não foi homologado e compromete a segurança e a privacidade dos dados coletados, gerando riscos para a conformidade com as regulamentações de proteção de dados.
INC-00000004611;ELFA;Muito Baixa;"1 - Documento emitido com a Finalidade H - Cancelado/3 - PARA CANCELAMENTO (OBSOLETAR), não pode subir revisão via gestão de mudanças e planejamento. 2 - Criar regra no GED considerando a numeração cliente, para que documento emitido como cancelado em um projeto não possa ser incluído em outro projeto. 3 - Documento emitido como Cancelado com retorno ""Aprovado com Comentários"" ou ""Reprovado"" ou ""Não aprovado"" deve seguir o fluxo novamente."
INC-00000004612;Hardware;Muito Baixa;Cabo HDMI com problema
INC-00000004613;Teams;Muito Baixa;Não estou conseguindo conectar nem no teams e nem no one drive
INC-00000004614;Acesso (conexão) Internet Barcarena;Muito Alta;Usuário Mielly relatou via teams que o acesso de internet de Barcarena está sem internet, Indisponibilidade total do serviço.
INC-00000004615;Acesso (conexão) Internet Belo Horizonte;Baixa;O visitante acessou a rede de terceiros sem solicitar o token, utilizando apenas a senha que estava impressa no papel, efetuando o login diretamente.
INC-00000004616;Microsoft Outlook;Muito Baixa;"não consigo enviar e-mail para cliente fora da blossom. 
Tentei seguir as informações no e-mail de resposta sem sucesso."
INC-00000004617;Acesso (conexão) Internet Belo Horizonte;Muito Baixa;Gateway On-premisses - Ao tentar logar no gateway on-premisses aparece a mensagem de erro conforme o anexo.
INC-00000004618;ACC - Autodesk Construction Cloud;Muito Baixa;O connector não está abrindo. Foi sugerido pelo ED para desinstalar e instalar de novo.
INC-00000004619;Microsoft Power BI;Baixa;Os dashboards de acompanhamento de chamados encontram-se desatualizados. Especificamente, os dashboards de Incidentes Abertos e Requisições de Serviço Abertas estão exibindo dados referentes ao dia anterior, o que está dificultando o acompanhamento dos chamados.
INC-00000004620;Hardware;Muito Baixa;Equipamento muito lento e algumas vezes não aceita o comando
INC-00000004621;Hardware;Muito Baixa;Limpar disco C. Os apps estão fechando sozinho
INC-00000004622;Microsoft 365 - Plano Businnes;Muito Alta;Na preparação do Workshop da Blossom e Intertechne tivemos diversos problemas na confecção colaborativa da apresentação do Workshop em PowerPoint. Segue um passo a passo do que ocorreu: (1) Eu criei a primeira versão do ppt, compartilhei com a Márcia, o Fred e o Matheus Barbian. (2) A Márcia adicionou os slides delas com imagens e animações, mas quando eu fui acessar, o arquivo virou read only, inclusive para mim. Eu não consegui alterar a configuração de read only. As imagens e animações dos slides da Márcia deixaram de aparcer/funcionar. (3) Márcia refez o processo 3x (4) Eu criei um arquivo novo, colei todos os slides neste arquivo e salvei no ITSM. Ele funcionou. A Márcia refez as imagens e animações. Quando eu entrei no arquivo, tudo se perdeu novamente, e o arquivo virou read only novamente e não conseguimos fazer funcionar. (5) Márcia teve que fazer tudo novamente no disco rígido do notebook dela, compactar o arquivo (porque tinha 35 Mb) e me enviar por e-mail. ------- Outro problema: (1) O Fred fez slides em outro arquivo, que era cópia do ppt original que eu criei (o mesmo acima) (2) O Fred me enviou o arquivo pelo Teams (3) Quando eu abria ou fazia download do arquivo do Fred, simplesmente não aparecia para mim os slides que o Fred incluiu (4) Tentamos gerar novo arquivo no notebook do Fred, copiar os slides, enviar para mim e, novamente, eu não consegui ver o conjunto de slides dele. ------------
INC-00000004623;ELFA;Muito Baixa;"Controle do fluxo de processo de desenhos de engenharia - ELFA -

contador do meu timesheet está informando que tem um dia sem apontamento, mas todos os dias estão apontados."
INC-00000004624;Teams;Muito Baixa;Não esta saindo o som nos fones . instalação do drive para uso de fone de ouvido
INC-00000004625;Acesso (conexão) Internet Belo Horizonte;Muito Baixa;Internet a cabo não conecta. Wi-Fi muito lento.
INC-00000004626;Foxit;Muito Baixa;Meu programa de PDF não está respondendo. Não esta abrindo o PDF feito.
INC-00000004627;ELFA;Muito Baixa;Controle do fluxo de processo de desenhos de engenharia - ELFA - o cadastro de finalidade de retorno para Anglo Aconex precisa ser configurado conforme o cadastro Anglo, para que documento Aprovado e Cancelado não passe pelo módulo da qualidade. Exemplo: projeto BL1091-0023
INC-00000004628;Microsoft 365 - Plano Businnes;Muito Baixa;tela de proteção de informação não estou conseguindo gerar pdf para emissão de arquivos.
INC-00000004629;ELFA;Muito Baixa;Controle do fluxo de processo de desenhos de engenharia - ELFA  - As aprovações constantes no BI pro meu usuário não aparecem no Elfa.
INC-00000004630;Microsoft 365 - Plano Businnes;Baixa;"Recebemos este alerta de risco do usuário Rock Brunno. As credenciais dele parecem ter sido descobertas/vazadas. Houve tentativas de acesso na conta dele, porém estas foram bloqueadas por conta das regras de acesso condicional.

É recomendado que façam o reset de senha desta conta"
